user_id,item_id,rating,timestamp
,265.0,2.0,881171488.0
305.0,451.0,3.0,
,40.0,3.0,891035994.0
,29.0,3.0,888104457.0
303.0,785.0,3.0,
,1042.0,4.0,874834944.0
167.0,486.0,,892738452.0
299.0,144.0,,877881320.0
157.0,274.0,,886890835.0
276.0,796.0,,874791932.0
,201.0,5.0,884921594.0
178.0,332.0,,882823437.0
260.0,322.0,,890618898.0
87.0,384.0,,
290.0,143.0,5.0,
201.0,,4.0,
138.0,26.0,5.0,
223.0,274.0,,
189.0,512.0,,893277702.0
,15.0,3.0,879987440.0
194.0,165.0,,879546723.0
293.0,5.0,,888906576.0
225.0,237.0,5.0,
276.0,54.0,,874791025.0
,144.0,5.0,874835091.0
11.0,,4.0,891903862.0
8.0,338.0,,879361873.0
279.0,154.0,,875296291.0
,275.0,2.0,885557505.0
62.0,498.0,,879373848.0
90.0,382.0,,891383835.0
,208.0,4.0,877531942.0
216.0,,4.0,880234639.0
,174.0,5.0,876860807.0
198.0,,3.0,884207492.0
,144.0,4.0,884304936.0
271.0,346.0,4.0,
,832.0,3.0,881375854.0
298.0,317.0,4.0,
250.0,,3.0,878089182.0
250.0,140.0,3.0,
59.0,23.0,5.0,
7.0,,4.0,891352010.0
305.0,427.0,,886323090.0
,14.0,2.0,
,955.0,4.0,
84.0,,3.0,
269.0,504.0,4.0,
194.0,,4.0,879525876.0
99.0,,3.0,885678247.0
,514.0,3.0,891387947.0
90.0,98.0,,891383204.0
,559.0,2.0,888067405.0
,794.0,3.0,881108425.0
68.0,117.0,4.0,
5.0,,3.0,875636053.0
279.0,1336.0,,
279.0,1240.0,1.0,
,443.0,3.0,880130193.0
268.0,1035.0,2.0,
26.0,258.0,3.0,
222.0,755.0,,878183481.0
,1217.0,3.0,891723086.0
130.0,379.0,4.0,
92.0,,3.0,886443455.0
256.0,,4.0,882164999.0
,61.0,4.0,878542420.0
72.0,,4.0,880036718.0
92.0,77.0,,875654637.0
207.0,,2.0,884386343.0
125.0,235.0,2.0,
83.0,234.0,,
,478.0,4.0,879454628.0
151.0,10.0,5.0,
,127.0,4.0,891446165.0
303.0,,5.0,879467542.0
,1091.0,3.0,874793035.0
91.0,323.0,,891438397.0
87.0,554.0,4.0,
200.0,318.0,,884128458.0
229.0,,1.0,891632142.0
178.0,568.0,4.0,
,591.0,3.0,876018608.0
,,4.0,882078040.0
,339.0,,882157581.0
28.0,,3.0,881961671.0
279.0,,4.0,875307407.0
14.0,98.0,,890881335.0
119.0,,5.0,874775038.0
268.0,930.0,2.0,
,258.0,4.0,883601089.0
233.0,202.0,,879394264.0
83.0,,4.0,880308578.0
268.0,145.0,1.0,
83.0,576.0,,
181.0,264.0,2.0,
85.0,507.0,,879456199.0
59.0,468.0,,888205855.0
286.0,143.0,4.0,
,96.0,1.0,889124507.0
113.0,595.0,,875936424.0
292.0,,5.0,881104093.0
,98.0,4.0,875155140.0
,79.0,5.0,882076403.0
181.0,3.0,2.0,
145.0,237.0,5.0,
201.0,767.0,,
,135.0,,
,303.0,2.0,879436785.0
244.0,,3.0,880606667.0
13.0,215.0,5.0,
270.0,452.0,,876956264.0
145.0,15.0,2.0,
,64.0,5.0,
181.0,,1.0,878961781.0
184.0,153.0,3.0,
128.0,508.0,4.0,
23.0,323.0,,874784266.0
303.0,134.0,,879467959.0
69.0,,5.0,882126156.0
286.0,237.0,,875806800.0
294.0,271.0,,889241426.0
308.0,649.0,4.0,
191.0,,4.0,891560253.0
61.0,678.0,,892302309.0
271.0,709.0,3.0,
,169.0,5.0,888640356.0
,1115.0,2.0,879664906.0
,577.0,3.0,889503806.0
21.0,558.0,5.0,
,96.0,5.0,891409839.0
,66.0,3.0,879527264.0
308.0,,4.0,887740700.0
308.0,640.0,4.0,
94.0,265.0,,891721889.0
38.0,758.0,,892434626.0
7.0,163.0,4.0,
,405.0,2.0,876197645.0
,,4.0,882827532.0
